word,meaning
agenda,회의 안건
appointment,약속
approval,승인
arrangement,준비
assessment,평가
assignment,업무 배정
attendance,출석
auditorium,강당
balance,잔액
benefit,혜택
budget,예산
candidate,지원자
capacity,수용 능력
client,고객
colleague,동료
committee,위원회
compensation,보상
competition,경쟁
complaint,불만
conference,회의
confirmation,확인
contract,계약
convenience,편의
cooperation,협력
deadline,마감일
defect,결함
delivery,배송
department,부서
deposit,보증금
discount,할인
distribution,유통
document,문서
employee,직원
employer,고용주
enrollment,등록
equipment,장비
estimate,견적
expense,비용
facility,시설
feedback,의견
forecast,예측
headquarters,본사
inventory,재고
invoice,청구서
itinerary,여행 일정
maintenance,유지 보수
manufacturer,제조업체
merchandise,상품
negotiation,협상
notification,알림
objective,목표
occupation,직업
operation,운영
opportunity,기회
organization,조직
orientation,오리엔테이션
participant,참가자
payment,결제
performance,실적
policy,정책
position,직책
presentation,발표
procedure,절차
productivity,생산성
proposal,제안서
purchase,구매
qualification,자격
receipt,영수증
recruitment,채용
refund,환불
registration,등록
regulation,규정
reservation,예약
responsibility,책임
revenue,수익
schedule,일정
shipment,발송
signature,서명
statement,명세서
supervisor,관리자
supplier,공급업체
survey,설문 조사
transaction,거래
vacancy,공석
warranty,보증
workplace,직장
accommodate,수용하다
allocate,배정하다
announce,발표하다
authorize,허가하다
collaborate,협력하다
confirm,확인하다
coordinate,조정하다
delegate,위임하다
distribute,배포하다
enclose,동봉하다
expand,확장하다
implement,시행하다
postpone,연기하다
reimburse,상환하다
