word,meaning
sarcastic,"빈정대는, 비꼬는"
faulty,"흠[결함]이 있는, 잘못된"
chancellor,"수상, 총장"
superstition,미신
nap,"잠깐 잠, 털, 우승 가능성이 가장 큰 말에 대한 충?"
Mediterranean,지중해의
altar,"제단, 제단"
contagious,"전염되는, 전염병에 걸린"
mend,"수리하다, 꿰매다[수선하다]"
paradox,역설적인 사람[것/상황]
pudding,"디저트, 푸딩, 파이"
rhyme,"운, 운문, 각운"
Muslim,"이슬람교도, 회교도"
etiquette,예의[에티켓]
hermit,은둔자
taking,"매력 있는, 전염성의"
gorilla,"고릴라, 고릴라 같은[덩치가 크고 호전적인] 남자"
gardening,"조원, 뜰 만들기, 밭짓기"
commune,"공동체, 최소 행정 구역"
plausible,타당한 것 같은
abbreviation,"축약형, 축약"
temptation,"유혹, 유혹하는[유혹적인] 것"
diving,"다이빙, 잠수"
volatile,"변덕스러운, 휘발성의"
accessory,"부대용품, 액세서리, 종범[방조자]"
plague,"전염병, 떼"
competent,"능숙한, 만족할 만한[괜찮은]"
inequality,"불평등, 불균등"
originate,"비롯되다, 발명[고안]하다"
compulsory,"강제적인, 의무적인, 필수의"
fatigue,"피로, …피로, 피로[약화]"
collar,"칼라, 목걸이, 이음 고리"
desirable,"바람직한, 성적 매력이 있는"
excess,"지나침, 초과량[액]"
cater,음식을 공급하다
empower,"권한을 주다, 자율권을 주다"
pledge,"약속, 저당[담보]"
profitable,수익성이 있는[있을 것 같은]
appetite,"식욕, 욕구"
drought,가뭄
planner,"설계자, 설계자[계획자]"
province,"주, 지방, 분야"
moderate,"보통의,중간의,중도의"
missionary,선교사
Rome,"로마, 가톨릭 교회"
said,[보통 the ~] 전기
drove,무리
rainy,비가 많이 오는
simulate,"…한 체[척]하다, 모의 실험하다"
injustice,"불평등, 부당함, 부당성"
thoughtful,"생각에 잠긴, 배려심 있는"
serial,"앞에 씀] 순차적인, 계속하는"
premier,"최고의, 제1의"
caution,"조심, 경고[주의]"
monk,"수도자,수도승"
medieval,중세의
counsel,"조언[충고], 변호인[변호인단]"
driveway,"사유 차도 , 가축을 몰고 가는 길"
airplane,비행기
uncover,"덮개를 벗기다, 알아내다[적발하다]"
sunny,"화창한, 명랑한"
drift,"이동[추이], 표류, 해류"
made,"몸집이 …한, …작의, 인공의"
pearl,"진주, 인조 진주, 진주층"
resistant,"저항력 있는, 저항[반대]하는"
rib,"갈비, 갈비, 늑재, 골"
circulation,"순환, 유통, 사회생활[활동]"
raid,"습격, 급습"
literacy,글을 읽고 쓸 줄 아는 능력
nutrition,영양
merge,"합병[병합]하다, 어우러지다[융합되다]"
slogan,"구호, 슬로건"
simultaneously,"동시에, 일제히"
rifle,"라이플총, 소총"
Christianity,기독교
diminish,"줄어들다, 깎아내리다"
quarrel,"말다툼, 불만, 네모난 화살촉이 달린 화살"
allege,혐의를 제기하다[주장하다]
inject,"주사하다, 주입하다, 더하다"
legendary,"전설적인, 전설에 나오는"
feat,"위업, 개가, 솜씨[재주]"
outlook,"관점, 전망"
Ignorance,"무지, 무식"
infer,추론하다
carriage,"객차, 마차, 운반[수송]"
hydrogen,수소
distort,"비틀다[일그러뜨리다], 왜곡하다"
attachment,"애착, 믿음, 부가 장치[기구]"
tribute,"헌사[찬사], …의 효력[영향력]을 입증하는 것"
sentiment,"정서, 감상"
loyalty,"충실, 충성심"
surgeon,"외과의, 외과 전문의"
bonus,"보너스, 뜻밖의 즐거움"
cooperative,"협력[협동]하는, 협조하는"
pad,"패드, 편지지[도화지/메모지 등의] 묶음"
undermine,"약화시키다, 기반을 약화시키다"
throne,"왕좌, 왕위"
Easter,"부활절, 부활절 기간"
exploitation,"착취, 개발, 이용"
surrender,"항복[굴복]하다, 포기하다[내주다/넘겨주다]"
abundance,풍부
stark,"삭막한[황량한], 냉혹한[엄연한]"
obsession,"강박 상태, 강박 관념"
incorrect,"부정확한, 맞지 않는"
embody,"상징[구현]하다, 포함하다"
expenditure,"지출, 소비[소모]"
deprive,"빼앗다, 면직[파면]하다"
memorable,기억할 만한
burial,"매장, 장례"
cautious,"조심스러운, 신중한"
systematic,"체계적인, 조직적인"
obsess,"사로잡다, 강박감을 갖다"
behalf,"이익, 원조, 자기편"
intake,섭취
outrage,"격분, 잔학 행위"
displace,"대신[대체]하다, 쫓아내다"
historically,역사상
meaningful,"의미 있는, 의미 있는[무슨 뜻을 담은]"
premise,"전제, 건물이 딸린 토지"
banking,은행업무
goat,"염소, 늙은 호색한"
barrel,"통, 한 통의 양, 총열"
overlook,"못 보고 넘어가다, 못 본 체하다[눈감아주다]"
explicit,"분명한, 솔직한, 명백한"
secular,세속적인
baggage,"초과 수하물, 앙금[응어리]"
temporarily,"일시적으로, 임시로"
verify,"확인하다, 입증하다"
accelerate,"가속화되다, 속도를 높이다"
absent,"결석한, 없는, 멍한"
noble,"고결한, 웅장한, 귀족의"
unfairly,"불공평하게, 편파적으로"
insulting,모욕적인
favourable,"좋은,호감을 갖게 하는"
bargain,"싸게 사는 물건, 합의"
cheaply,"싸게, 저렴하게"
receipt,"영수증, 받기, 수령"
prescription,"처방전, 처방된 약, 처방[방안]"
panic,"극심한 공포, 허둥지둥함"
appreciation,"감탄, 공감, 감사, 가치 상승"
compose,"구성하다, 작곡하다, 편지/연설문/시를"
conservation,"보호, 보존, 관리"
integrity,"진실성, 완전한 상태"
essence,"본질, 에센스"
correlation,"연관성, 상관관계"
enforce,"집행[시행/실시]하다, 강요하다"
frankly,솔직히[노골적으로]
integration,"통합, 통합"
chill,"아주 춥게 만들다, 차게 식히다[식다]"
