word,meaning
imaginative,"""상상력이 풍부한"""
confident,"""자신감 있는"""
polite,"""공손한"""
humorous,"""유머감각이 있는"""
good listener,"""잘 들어주는 사람"""
patient,"""인내심이 있는"""
outgoing,"""외향적인"""
brilliant,"""훌륭한"""
energetic,"""기운이 넘치는"""
thoughtful,"""마음이 따뜻한"""
advertisement,"""광고"""
encourage,"""격려하다"""
lively,"""활기 넘치는"""
pause,"""멈춤"""
fist,"""주먹"""
brag,"""자랑하다"""
exhaust,"""기진맥진하게 만들다"""
hazard,"""위험"""
transportation,"""교통수단"""
account for,"""~을 설명하다"""
teenager,"""십대 청소년"""
rescue,"""구출, 구조"""
pilot,"""비행사"""
it is ~ that,"""~은 ~이다"""
work as,"""~으로 일하다"""
such as,"""~와 같은"""
none other than,"""다름이 아닌 바로"""
forbidden,"""금지된"""
horn,"""뿔"""
draft,"""원고, 초안"""
odd,"""이상한"""
chairman,"""회장, 의장"""
craft,"""공예"""
breeze,"""산들바람"""
gorgeous,"""화려한, 아주 멋진"""
leisure,"""여가 활동"""
organization,"""조직"""
wealthy,"""부유한"""
royalty,"""왕실 사람들"""
volunteer,"""자원봉사하다"""
unique,"""독특한"""
endangered,"""멸종 위기에 처한"""
successful,"""성공한"""
species,"""(생물 분류의 기초 단위) 종"""
list,"""목록, 리스트"""
tools,"""도구"""
be excited about,"""~에 대해 기뻐하다"""
talk about,"""~에 대해 말하다"""
go around,"""돌아다니다"""
cannot wait to,"""~하고 싶어 참을 수가 없다"""
giant,"""거대한"""
hug,"""(사람을) 껴안다"""
represent,"""상징하다"""
conclude,"""결론을 내리다"""
victim,"""피해자, 희생자"""
illegal,"""불법적인"""
threaten,"""협박하다"""
agreement,"""합의, 동의"""
outstanding,"""뛰어난"""
indirect,"""간접적인"""
understanding,"""이해심 있는"""
respectful,"""공손한"""
literature,"""문학"""
scary,"""무서운, 겁나는"""
kindergarten,"""유치원"""
subject,"""과목"""
plan a lesson,"""수업 계획을 짜다"""
grade,"""성적"""
give a test,"""시험을 주다"""
counsel,"""상담하다, 조언하다"""
